name	number	position	feet	inches	pounds	month	day	year	nothing	college	nationality
Benedetti, Scott	6	F	5	11	175	11	13	66		Portland	USA
Bent, Jason	2	D	5	9	165	3	8	77		Maryland	Canada
Bernal, Steve	2	D	5	9	165	7	3	78		Creighton	USA
Beskovic, Mersim	2	D	6	0	165	10	16	78		St. Francis	USA
Biddle, Aaron	2	D				3	12	80		Stanford	USA
Bilyk, Jeff	4	M	5	7	145	5	7	77		Clemson	USA
Bishop, Ian	4	M	5	9	165	5	29	65		Abroad	England
Bliss, Brian	6	F	5	8	150	9	28	65		Southern Connecticut St.	USA
Botello, Jose	6	F	6	0	165	4	24	76			USA
Bower, Scott	6	F	5	8	160	6	27	78		Clemson	USA
Bowers, Sean	2	D	6	2	185	8	12	68		Quincy	USA
Boyce, Jason	6	F	5	7	152	10	14	75		Washington	USA
Bradley, Michael	4	M	5	8	130	7	31	87		Bradenton	USA
Branco	2	D	6	0	180	4	4	64		Abroad	Brazil
Brauchle, Chris	4	M	5	10	165	5	24	67		Rutgers	USA
Bravo, Paul	4	M	6	0	175	7	19	68		Santa Clara	USA
Brennan, Bob	2	D	6	0	180	4	14	79			USA
Brilliant, Felix	6	F	5	7	147	9	9	80		Franklin Pierce	Canada
Brose, Dario	4	M	5	6	150	1	27	70		NC State	USA
Brown, Chris (1)	2	D	5	10	165	8	16	71			USA
Bucuane, Manuel	6	F	5	7	160	8	16	73			Mozambique
Budnick, Scott	1	GK	6	2	195	10	28	71		William & Mary	USA
Bunbury, Alex	6	F	6	1	187	6	16	67		Abroad	Canada
Burke, Michael	6	F	5	7	145	2	25	77		Loyola Maryland	USA
Burke, Mike	6	F	5	7	145	2	25	77		Loyola Maryland	USA
Butler, Altimont	4	M	5	10	158	7	21	68		Abroad	Jamaica
Butler, Freddie	4	M	5	10	158	7	21	68			
Butler, Michael	6	F	5	10	170	1	5	76			Liberia
Butterworth, Ian	2	D	6	2	190	2	15	64		Abroad	England
Byaruhanga, Peter	6	F	5	10	160	8	18	79		Alabama-Birmingham	USA
Calichman, Dan	2	D	6	0	180	2	21	68		Williams	USA
Caligiuri, Paul	2	D	5	10	175	5	9	64		UCLA	USA
Campos, Jorge	0	G/F	5	6	150	10	15	66		Abroad	Mexico
Cannon, Scott	2	D	5	9	155	7	22	68		Evansville	USA
Care, Danny	2	D	5	11	178	6	20	74		Clemson	USA
Caricola, Nicola	2	D	6	0	160	2	13	63		Abroad	Italy
Carmichael, Byron	6	F	6	1	170	10	11	81		Marshall	USA
Carrera, Marcelo	6	F	5	8	156	10	1	63		Abroad	Argentina
Carroll, John	0					11	14	77			
Castaneda, Jorge	4	M	5	9	165	1	12	70			Mexico
Castaneda, Tote	4	M	5	9	165	1	12	70		Abroad	Mexico
Cate	4	M	5	9	160	7	11	73		Abroad	Brazil
Causey, Jeff	1	GK	6	3	195	10	19	71		Virginia	USA
Chulis, Matt	2	D	5	10	155	8	29	77		Virginia	USA
Clark, Jamie	2	D	6	1	170	12	13	76		Stanford	Scotland
Cole, Jason	2	D	5	10	180	9	26	80		SLU	USA
Comas, Alex	6	F	6	1	170	11	14	71		Abroad	Colombia
Comfort, David	1	GK	6	5	200	7	27	81		Virginia	USA
Conde, Chiquinho	6	F	5	7	150	11	22	65		Abroad	Mozambique
Conrad, Jim	2	D	6	2	185	2	12	77		UCLA	USA
Cooks, Judah	2	D	6	1	175	11	29	76		High School	USA
Cooks, Micah	2	D	6	0	175	7	2	81		High School	USA
Coufal, Scott	1	GK	6	2	185	8	12	74		Indiana	USA
Coye, Kevin	2	D	6	0	170	4	26	76		UCLA	
Cozier, Mac	6	F	5	8	165	10	23	73		UNC Charlotte	USA
Crawford, Matthew	2	D	5	10	160	8	20	80		UNC	USA
Crawley, Ben	6	F	5	11	175	5	6	71		Virginia	USA
Crew, Adom	0		6	2	175	8	4	82		Brown	USA
Cronin, Steve	1	GK	6	2	195	5	28	83		Santa Clara	USA
Cruz, Arnold	2	D	6	0	160	12	22	70		Abroad	Honduras
Cullen, Rich	1	GK				5	12	78		Air Force	USA
Curcic, Sasa	4	M	5	9	155	2	14	72		Abroad	Serbia
da Silva, Cristian	4	M	5	11	175	2	3	71		Southern Connecticut St.	USA
da Silva, Nino	6	F	5	7	150	5	26	79			USA
