name	month	day	year		feet	inches	pounds	nationality
Salas, Sergio	3	21	81					Bolivia
Galvan, Jose	3	26	81					Argentina
Ngwenya, Joseph	3	30	81					Zimbabwe
Forchetti, Juan	4	1	81					Argentina
Gray, Kelly	4	7	81					USA
Perry, Jason	4	11	81					USA
Borchers, Nat	4	13	81					USA
Walker, Jamil	4	21	81					USA
Swenda, Phil	4	22	81					
Waldrum, Benjamin	4	26	81					
Rosenband, Andy	4	27	81					USA
Buddle, Edson	5	21	81					USA
Hernandez, David	5	30	81					
Braz, Adam	6	7	81					Canada
Tranchilla, Mike	6	9	81					USA
McGowan, Ryan	6	10	81					
Zuniga, Fabio	6	11	81					Colombia
Schmidt, Casey	6	16	81					USA
Abrahamson, Guy	6	22	81					
David, Johnny	6	24	81					
Cooks, Micah	7	2	81					USA
Kante, Ibrahim	7	20	81					Mali
Comfort, David	7	27	81					USA
Barber, Ryan	8	16	81					
Pause, Logan	8	22	81					USA
Sanfilipo, Frank	9	8	81					USA
Maliza, Johanes	9	10	81					USA
Stammler, Seth	9	29	81					USA
Friedland, Kevin	10	3	81					usa
Pulido, John	10	3	81					
Charlton, Craig	10	5	81					
Kartes, Gus	10	12	81					USA
Ochoa, Jesus	10	12	81					Mexico
Gordon, Alan	10	16	81					USA
Taylor, Matt	10	17	81					USA
Hudson, Kevin	10	22	81					
Occean, Olivier	10	23	81					Canada
McGill, David	10	24	81					
Salyer, Philip	10	30	81					USA
Davis, Brad	11	8	81					USA
Burciaga, Jose	11	16	81					USA
Thompson, Jason	11	22	81					USA
Arzate, Memo	11	22	81					USA
Hesmer, Will	11	23	81					USA
Munoz, Albert	11	28	81					Venezuela
Munoz, Alberto	11	28	81					Venezuela
Haefner, Matthew	12	16	81					USA
Richards, Kevin	12	23	81					Bermuda
Pecorelli, Lindon	1	1	82					USA
Countess, D.J.	1	9	82					USA
Ara, Kevin	2	8	82					USA
Dombrowski, Tighe	3	4	82					USA
Donovan, Landon	3	4	82					USA
Trembly, Seth	3	21	82					USA
Sutton, Jamal	3	22	82					USA
Parke, Jeff	3	23	82					USA
White, Jeremiah	4	3	82					USA
Clanton, Denny	4	4	82					USA
Vercollone, Luke	4	4	82					USA
Pilarski, Ian	4	6	82					USA
Beckerman, Kyle	4	23	82					USA
Dorman, Andy	5	1	82					Wales
Pickens, Matt	5	5	82					USA
Goodson, Clarence	5	17	82					USA
Beasley, DaMarcus	5	24	82					USA
Lewis, Ricky	5	29	82					USA
Wingert, Chris	6	16	82					USA
Hucles, Phil	6	17	82					USA
Urbas, Hermann	6	18	82					Germany
Urbas, Mandi	6	18	82					Germany
Wagenfuhr, David	6	22	82					USA
Sullivan, Gary	6	24	82					USA
Gros, Josh	6	25	82					USA
Eskandarian, Alecko	7	9	82					USA
Crew, Adom	8	4	82					USA
Makumbu, Destin	8	4	82					Zaire
Detter, Justin	8	7	82					USA
Vaca, Joselito	8	12	82					Bolivia
Maurin, Ty	8	16	82					USA
Griffin, Leonard	9	11	82					USA
Gardner, Josh	9	14	82					USA
Gregorio, Adolfo	10	1	82					USA
Taylor, Kevin	11	4	82					USA
Ortiz Solis, Fernando	11	9	82					
Baumstark, Clint	1	9	83					USA
Quintanilla, Eliseo	2	5	83					El Salvador
Clark, Ricardo	2	10	83					USA
Dempsey, Clint	3	9	83					USA
Barclay, Devin	4	9	83					USA
Convey, Bobby	5	27	83					USA
Cronin, Steve	5	28	83					USA
Grabavoy, Ned	7	1	83					USA
Saavedra, Miguel	7	3	83					USA
Cochrane, Ryan	8	8	83					USA
Kim, Chuck	1	20	84					USA
Johnson, Edward	3	31	84					USA
Sucevic, Samuel	5	28	84					
Marshall, Chad	8	22	84					USA
Magee, Mike	9	2	84					USA
Quaranta, Santino	10	14	84					USA
Mapp, Justin	10	18	84					USA
Alvarez, Arturo	6	28	85					USA
Capano, Craig	7	7	85					USA
Nunez, Ramon	11	14	85					USA
Gonzalez, Guillermo	1	4	86					USA
Gaven, Eddie	10	25	86					USA
Bradley, Michael	7	31	87					USA
Adu, Freddy	6	3	89					USA
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Amaro-Cruz, Elimagdier	8	4	75					Puerto Rico
Astrondoa-Rivera, Carlos	4	28	81					Puerto Rico
Deering-Bramuglia, Diego	7	16	79					Argentina
Garay-Ortega, Carlos	3	10	81					Puerto Rico
Memendi-Diaz-Munio, Eduardo	7	1	85					Puerto Rico
Mourelo-Castro, Michael	6	2	81					USA
Mussenden-Cruz, Angel	1	16	79					Puerto Rico
Nieves-Rivera, Isaac	1	6	82					Puerto Rico
Novarini, Javier	2	17	66					Argentina
Nucifora, Andrew	8	8	80					USA
Ortiz-Huertas, Rafael	11	30	75					Puerto Rico
Pierre-Rodriguez, Diego	3	14	80					Argentina
Rivera-Curet, Alexis	10	29	79					Puerto Rico
Rivera-De Jesus, Hector	2	24	69					Puerto Rico
Rosas-Crespo, Jorge	11	28	72					Puerto Rico
Sallas-De Alencar, Mauricio	3	1	78					Brazil
Sarafim-Da Silva, Edivaldo	4	15	74					Brazil
Toal-Flores, Joseph	6	14	83					Honduras
Torres-Ramos, Alvaro	6	21	84					Puerto Rico
Zapata-Alhornoz, Martin	6	9	82					Argentina
Zuleta-Mechura, Luis	11	1	82					Argentina
Zagar, Theo	11	2	74		6	3	195	Canada
McNelis, Terrance	8	8	81					USA
Doe, Francis	12	25	85					Liberia
Paye, Aaron	1	19	81					Liberia
Roberts, Brian	8	28	82					USA
Cronkrite, Erik	10	1	81					USA
Elfvin, Bayard	2	1	81					USA
Saunders, Shawn	7	28	76					USA
Kinoshita, Kei	9	9	71					Japan
Waltman, Danny	9	19	81					USA
Harmse, Kevin	1	1	80					Canada
Thompson, Justin	1	9	81					Canada
Xausa, Davide	3	10	76					Scotland
Ackah, Lovelace	7	8	76					Ghana
Burk, Kevin	6	29	79					USA
Krause, Neil	6	12	81					USA
Marcantonio, Nino	10	13	81					Italy
Vorberg, Nick	2	10	75					USA
Afful, Joseph	7	30	79					Ghana
Fitzpatrick, Leslie	11	11	78					Trinidad
Ilarionov, Ivailo	1	6	73					Bulgaria
Vendegh, Attila	3	12	81					Slovakia
Jensen, Henrik	2	2	78					Denmark
Henry, Nigel	5	24	76					Trinidad
Smith, Joshua	8	30	82					USA
Kutney, Jason	9	5	81					USA
Martinez-Morales, Jesus	9	27	83					Paraguay
Getz, Jason	7	24	80					USA
Jones, Kelvin	1	30	82					USA
Bailey, Joel	2	17	80					Trinidad
Grande, Sandro	9	29	77					Canada
Hainault, Andre	6	17	86					Canada
Selaidopoulos, Kyriakos	2	21	78					Canada
Cephas, McColm	9	30	78					Liberia
Delicate, Matthew	2	7	82					Wales
O'Toole, Matthew	11	14	78					USA
Simms, Clyde	8	21	82					USA
Vidmar, Joseph	9	16	82					USA
Barry, Patrick	8	25	80					USA
Cuomo, Gabriel	3	2	84					USA
Dargout, Jefferson	11	16	80					USA
Mendez, Carlos	12	25	80					
Alcerro, Ricardo	5	1	73					Honduras
Da Silva-Sarafim, Edivaldo	4	15	74					Brazil
Geffard, Clide								Haiti
Salles-De Alencar, Mauricio	3	1	78					Brazil
Ankiel, Steve	8	14	81					USA
Almeida, Nuno								
Buckley, Paul	5	1	81					England
Bussard, Anthony	11	12	80					USA
Fehrle, Chris	12	13	80					USA
Kerekes, Cjaba								Hungary
Low, Kupono	12	27	78					USA
Neagu, Christian	11	9	80					Romania
O'Neil, Timothy	2	17	82					USA
Rodriguez-Taulis, Sebastian	8	2	76					
Sanfillippo, Frank	9	8	81					USA
Baxter, Darren	10	26	81					England
Blois, Lewis	12	14	81					England
Dodds, Jamie	11	12	81					Canada
Pavic, Jure	9	13	75					Croatia
Prostran, Igor	4	29	79					Canada
Steele, Aaron	2	4	83					England
Cudjoe, Jason	4	10	80					USA
Hill, Joshua	7	2	81					USA
Hutchinson, Russell	7	6	78					USA
Jonas, Mark	10	17	74					USA
N'Goran, Geoffrey	11	8	74					Ivory Coast
Sanchez, Max	1	2	73					USA
Smith, Derek	7	17	80					USA
Winkel, Nathaniel	6	30	78					USA
Brusselers, Geert	1	6	83					Holland
Castrillon, John	7	10	85					Canada
Frazao, Steven	11	11	83					Canada
Holdt, Steffen	2	20	76					Canada
Janssens, Frederick	11	15	82					Canada
Jesic, Damir	1	25	79					Bosnia
Kolomiets-Raad, Sergei	8	3	82					Russia
Kooy, Christopher	6	11	82					Canada
Mert, Mesut	3	18	78					Bulgaria
Pavicic, Zvonko	7	15	77					Canada
Pfannenstiel, Lutz	5	12	73					Germany
Reyes, Nic	5	19	81					Canada
Richer, Aaron	11	19	79					Canada
Robinson, John	1	14	81					Canada
Savic, Zdravko	7	26	81					Slovenia
Sestito, Angelo	6	25	73					Canada
Slade, Mark	2	18	76					South Africa
Smith, Conrad	4	12	82					Trinidad
Stefanazzi, Chris	4	13	81					Canada
Akok, Fred	10	12	77					Canada
Campi, Jose Luis	1	28	77					Argentina
Devlin, Chris	7	24	74					Canada
Dhaliwal, Paul	5	2	81					Canada
Drummond, Daniel	9	10	85					Canada
Gonzalez, William	4	17	79					Canada
Handsor, Chris	1	14	72					Canada
Kassaye, Simon	5	19	85					Canada
Kaushal, Vikram	3	26	83					Canada
Lopresti-Travanic, Jaime	1	27	74					Chile
Molina-Belmar, Cesar	10	15	85					Canada
Mollaibrahimagaoglu, Ibrahim	10	10	69					Turkey
Munoz, Eric	8	29	77					Canada
Salinoas-Ponce, Claudio	4	24	76					Chile
Sibiya, Sipho	7	28	71					South Africa
Spencer, Steven	9	22	79					Canada
Stankov, Nicola	7	16	80					Canada
Stephens, Wesley	9	5	76					Canada
Tachie, Desmond	5	1	84					Canada
Vignjevic, Nikola	3	12	71					Serbia
Barnes, Devlin	4	18	82					USA
Barton, Joseph	7	1	81					USA
Popovich, Derek	4	24	81					USA
Vendegh, Atilla	3	12	81					Slovakia
Otta, Walter	12	12	73					Argentina
Zapata-Vidal, Ernesto	1	24	73					Uruguay
Hart, Robin	4	7	78					Canada
Rago, Carmalo								
Stankov, Robert	7	16	80					
Castellanos, David	2	26	80					USA
Lara, Ricardo	7	24	81					USA
Cronkite, Erik	10	1	81					USA
Marcum, Garrett	5	21	79					USA
Weis, Jarrod	1	22	82					USA
Geffard, Clide								Haiti
Lucey, Gerry	5	26	66					USA
McDermott, Michael	2	7	74					Northern Ireland
Brown, Tim	3	6	81					New Zealand
Almeida, Nuno			72					Portugal
Barnes-Homer, Matthew	1	25	86					England
Carabajal, Mauro	5	7	78					Argentina
Kerekes, Cjaba	3	13	79					Hungary
Steele, Jonathan	2	7	86					England
Brito, Vinicius	9	26	82					Brazil
Connor, Matthew	11	7	81					
De Carvalho, Edmilson	10	3	76					Brazil
Gbeke, Charles	3	13	78					Canada
Gomes, Domingos								
Mattachione, Joe	8	15	75					Canada
Messam, Gregory	7	24	73					
O'Connor, Matthew	4	29	84					Canada
Cucck, Umbertino	2	2	84					Canada
Dauda, Fuseini	5	29	75					Canada
Gomes, Mark	12	19	75					Canada
Pineda-Chacon, Alex	12	19	69					Honduras
Norkus, Joshua	3	14	79					USA
								
Valencia-Jimenez, Gabriel	4	16	78		6	2	195	Venezuela
Campi, Jose	1	28	77					Argentina
Rago, Carmalo								
Alberts, James	11	8	80					USA
Brunt, Christopher	1	1	80					USA
Matteo, Jeffrey	8	8	80					USA
Menyongar, Johnny	6	26	79		5	5	140	Liberia
Kante, Boureima	7	20	81					Mali
Rosenband, Andrew	4	27	81					USA
Arzate, Guillermo	11	22	81					USA
Da Silva-Sarafim, Jr, Edivaldo	4	15	74					Brazil
Geffard, Clide								Haiti
Gores, Christopher	9	23	77					USA
Hesmer, Will	11	23	81					USA
								
Vargas-Aguilera, Roland	12	7	78					Bolivia
Callahan, Sean-Micheal	4	17	78		5	8		USA
Melo, Welton	4	17	75					Brazil
Foss, Charles	10	6	79					USA
								
McManus, Anthony	9	20	80					USA
Pickens, Matthew	4	5	82					USA
Wiseman, Ronan	2	10	66					Ireland
Zaratin, Peter	4	29	71					USA
								
								
								
								
Frias, Daniel	3	29	79					Mexico
Mulcahy, Patrick	3	27	76					
Munro, Jamie	4	22	76					
Oudin, Manny	3	20	68					
Piturro, Laurence	10	31	69					
Posnanski, Jamie	1	15	73					USA
Roberts, J.T.	1	8	75					
Simpson, Dushawne	12	5	72					
Simpson, Shani	3	28	73					
Sletvold, Richard	7	17	76					
Stathopoulos, Chris	12	29	77					
Tschantret, Lee	4	10	69					USA
Utush, Ali John	11	1	77					USA
Abboud, Mark								U
DiFlorio, Gino	9	18	64					
Watson, Jerome	9	28	64					USA
Swallen, John	6	16	65					
Limniatis, John	6	24	67					Canada
Baena, Mark	11	27	68					USA
Kelly, David	6	11	68					
Atta, Maher	3	23	70					
Sablo, Angelo	3	7	70					
Villagra, Gustavo	2	13	70					Argentina
McKay, Joshua	11	16	71					USA
Price, David	8	31	71					
Legg, Kevin	2	19	72					USA
Sewell, Dean	4	13	72					Jamaica
Watkins, Shane	11	8	72					
Barbieri, Erik	5	27	73					
Henning, Mike	9	23	74					
Hetherington, Nathan	4	30	74					
Leon, Daniel	10	14	74					
Robertson, Ralph	10	30	74					
Alegre, Mauricio	11	5	75					
Annicchero, Jason	9	27	75					
Labastida, Luis	4	11	75					Mexico
Latronica, Anthony	8	8	75					USA
Farris, Matt	9	20	76					USA
Franzke, Stephen	11	8	76					USA
Proctor, James	10	25	76					
Ratzburg, Keith	10	16	76					
Johnson, Ben	2	10	77					USA
Poltl, Thomas	9	21	77					USA
Cerro, Diego	8	23	68					
Cadet, Steve	2	7	69					USA
Ceccarelli, Paolo	10	12	69					
Boney, Shawn	8	28	71					
D'Ambra, Don	5	5	72					
Etienne, Derrick	8	11	74					USA
Blanchard, Ricardo	10	30	71					St. Lucia
Bokole, Bonyoko	8	7	76					
Rebuck, Daniel	2	3	69					
Etienne, Darrell	8	11	74					USA
Strang, Brett	7	21	76					USA
								
Tomaro, Paul	5	2	76					
Rocke, Colin	3	21	68					Trinidad
Nealis, Sean	4	29	76					
Littman, Michael	5	11	68					
Levesque, Ryan	5	8	74					
Myrie, Carlyle	6	7	75					Jamaica
Tucker, Taylor	2	11	74					
Ndlovu, Methembe	8	16	74					
								
								
Kinturi, Pasi	10	14	74					
Gunn, Jeremy								
Veselka, Chris	6	15	70					
Veselka, Chris								
Theslof, Nick	12	12	75					
Carey, Sean	3	11	69					
Daly, Kevin	10	17	74					
Hickey, Ben	11	11	74					
Ananda, Vairaji	10	7	79					
Potter, Nick	3	25	77					
Quigley, Kevin	6	25	76					
								
Risley, Kenneth	3	15	72					
Ellsworth, Oliver	9	7	77					
Roufs, Jason	5	28	76					
Wright, Brandon	8	16	79					
Browne, Clinton	6	2	73					
Najarro, Roberto	1	31	79					Honduras
								
Thompson, Geoffrey	6	27	73					USA
								
								
Chan, Robin	1	8	68					
Riegler, Jason	10	24	72					
								
								
Throop, Adam	8	11	78					
Davis, Brett	1	4	76					
Kelly, Paul	5	1	74					
Kodiat, Ebbie	7	11	79					
Kennedy, Roger	3	8	76					
Rigby, Jeffrey	11	29	77					
Roderick, Paul	12	6	74					
Segaar, Chris	11	20	75					
Radovic, Aleksandar	10	4	73					
Cassella, Shawn	10	26	72					
Landon, Eric	4	5	74					
Manganello, Mark	12	3	72					
Camara, Aboubacar	10	5	78					
Ovalle, Raul	2	4	74					
Benjamin, Mario	11	6	78					
Johnson, Jeff	12	6	74					
Smith, Adam	10	27	71					
Valdez, Joaquin	8	22	74					
Gatti, Guillermo	9	4	75					
Nicol, Steve	12	11	61					Northern Ireland
Sloan, Kevin	12	23	65					
Doliscat, Rudy	11	16	67					
Kelly, Danny	3	7	69					
Inneh, Ernest	9	25	70					
Robles, Antonio	4	26	70					
Moleka, Ignace	9	27	70					Zaire
Felician, Lester	8	5	70					
Garcia, Gabe	6	8	70					
Mossel, Mike	7	18	70					
Needham, Grant	7	14	70					
McElderry, Jim	2	1	71					
Anderson , Kevin	9	17	71					
Houser, Nate	10	8	72					USA
Pappas, Peter	6	27	72					Canada
Davini, Chris	4	29	72					
Saunders, Michael	4	1	72					USA
Dumitru, Mugurel	11	13	72					Romania
Green, Dan	4	24	72					
Haitonic, Emil	11	15	73					
Brown, Phillip	10	10	73					
Cruz, Carlos	9	3	73					
Nowak, Paul	6	26	73					
Walker, Ryan	11	4	74					
Petronis, Jason	9	27	74					
Castro, Victor	7	8	74					
Gore, John	3	4	74					
Moore, William	4	7	74					
Wescott, Jason	6	20	74					
John, Avery	6	18	75					Trinidad
Provan, Josh	8	4	75					
Wilson, Eric	12	15	75					
Sanchez, Mario	1	28	75					
Temblador, Art	2	22	75					
Demmin, Dwayne	1	5	75					Trinidad
Donaldson, Craig	10	24	75					
Mercado, Oscar	1	1	75					
Rantala, Jukka	8	1	75					
Vita, Mark	7	10	75					
Wozniak, J.J.	4	2	75					
Franklin, Sam	1	17	76					
Lowery, Jonathan	9	20	76					
Marinos, Chris	10	2	76					USA
Samol, Zach	1	16	76					USA
Scheer, Craig	2	29	76					
								
Farace, Anthony	5	10	76					
Nyman, Matt	9	16	76					
Oparaku, Mobi	1	12	76					
Wanamaker, Christopher	5	9	77					
Mittendorf, Andrew	7	19	77					
Wannamaker, Chris	5	9	77					
Dagama-Maucher, Luis Renato	7	11	78					
Duncan, Todd	1	26	78					
Cardozo, Blas	2	3	79					
Wall, James	3	21	80					
Figueroa-Jimenez, Ahmed	1	23	80					
Neto-Calheira, Adauto	12	31	80		5	10	178	Brazil
Lewis, Peter	12	30	62					
Boisson, Alvin	5	28	66					
Rosario, Robert	3	4	66					
Banks, David	12	17	67					
Schmetzer, Andy	4	26	67					
Dias, Christopher	10	6	68					
Anhaeuser, Mike	8	13	69					
Brisson, Clark	2	9	69					
Pierre-Jerome, Reggie	9	29	69					
Norcott, Guy	10	11	69					England
St. Louis, Terry	12	23	69					
Hurst, Lee	9	21	70					
Lilavois, Bernie	8	31	70					
Rodriguez, Eddie	4	22	70					
Steinbach, Morry	8	9	70					
Walker, Gerard	2	23	70					
Payne, Jon	3	6	71					
Siikala, Toni	4	1	71					
Spooner, Nicky	6	5	71					England
Castillo, Juan	6	18	72					
Kelly, Jon	11	27	72					
Scott, Kevin	11	7	72					
Carithers, Chad	7	8	73					USA
Richvalsky, Damon	11	13	73					
Brownell, Derick	2	2	74					
Mills, John	10	16	74					
Mekelburg, Mike	2	20	75					
Sells, Justin	5	1	75					
Alvero, Brian	1	14	76					
Krakowiak, Wojtek	8	6	76					Poland
Phillips, Colin	5	29	76					
Thelen, Scott	6	14	76					
Turner, Ryan	5	14	76					
Miller, Rashad	12	1	77					
Anderson, Alfredo	10	31	78					
Campbell, Josh	8	10	78					
Webster, Pablo	10	2	79					
Feniger, Mike	5	18	75					USA
Abboud, Mark	11	19	70					
Valderrama, Ronald	12	4	67					
Lagos, Gerard	8	25	69					
Sebwe, Dionysius	3	7	69					
Coughlin, John	12	30	72					
Leventhal, Aaron	7	18	74					USA
Johnson, Tamba	6	18	78					
Menk, John	2	26	70					USA
Miller, Kirk	10	27	78					
Kroener, Shawn	6	1	76					
Sylvester, John	2	12	73					USA
Salazar, Jorge	7	27	64					
Ablett, Gary	11	19	65					
Martin, Tim 	4	12	67					
Oliveira, Pedro Paul	12	27	67					
Garcia, Gabriel	6	8	70					
Barber, Daniel	5	17	71					
Cruz, Alberto	7	10	71					
Campbell, Shayne	11	18	72					
Farfan, Eric	3	11	73					
Dumlao, Rodney	3	21	74					
Connell, Greg	7	1	75					
Diallo, Ben	8	23	75					
Hollis, Trace	8	29	75					
Marquez, Cesar	1	23	75					
Mejia, Oscar	12	7	77					
Suazo, Miguel	11	23	77					
Brooks, Paul 	9	30	78					
Hall, Matt	4	5	78					
James, Chad	4	3	78					
Frias-Adame, Julio (Daniel)	3	29	79					
Sulentic, John	5	2	77		5	9	160	Canada
Barnes, Sebastian	11	18	76					Ghana
Reynders, Martin	4	11	72					
Beech, Patrick	1	1	71					Jamaica
Kusch, Garret	6		73					
Stalteri, Paul	10	18	77					Canada
Alvarado, Choco	1	1	82					
Ayegbaroju, Adeola								Nigeria
Davis, Fabian	6	30	74					Jamaica
Dutreuil, Jimmy								Haiti
Marquinhos	2		79					Brazil
Nowacki, Marek	2	17	74					Poland
Bader, Dewan	4	8	71					USA
Carver, Joe	6	11	71					
Cairel, John	12	11	73					
Cavitt, Brandon	3	28	73					
Oyuga, Paul	4	7	73					
Ribeiro, Anselmo	12	17	74					
Chrisanthon, Nick	7	12	75					
Colasante, Cesidio	1	10	75					
Bustos, Javier	2	27	76					
Clark, Jason	5	25	76					
Comeaux, Ross	3	1	76					
Phillips, Shandley	8	14	76					
Phillips, Sullivan	2	9	79					
Adjanohoun, Dominique	12	13	74					
Pinto, Nelson	11	3	71					
Quinones-Arreola, Saul	10	31	72					
Camarena-Corzo, Enrique	6	15	73					
Pepe, Michael	2	13	75					
Williams, Mike	9	1	69					USA
Ukrop, Robert	4	5	70		6	2	206	USA
Bailey, Jaymison	6		76					USA
Tilley, Darren			67					England
Glusevic, Dejan								Yugoslavia
Valdez, Paolo								Angola
Diotte, Patrick								Canada
Pozniak, Chris								Canada
Silva, Jacenir								Brazil
Rodriguez, Edmundo								Mexico
Mensah, Henry								Ghana
Hetherington, Nathan								USA
Hooper, Lyndon								Canada
Sandhu, Didar	1		74					Canada
Branigan, Alan								USA
Samuel, Randy								Canada
McKay, Yogi								USA
								
Thompson, Rett								USA
Stuart, Darrell								Antigua
Kennel, Chris								USA
Kouzmanis, Tom	4	22	73					Canada
Gong, Lei								China
Centurione, Luca								Italy
Manjate, Armando								Mozambique
Holmes, Daryl								New Zealand
Holness, Kevin	9	25	71					Canada
Crompton, Gary			70					USA
Lagos, Gerard	8	25	69					USA
Horvath, Istvan								Hungary
James, Bernie								USA
Duff, Chris	1	20	72					USA
Browder, Charles	3	12	76					USA
Caution, Matt	11	29	74					USA
Crawford, Loren	11	1	77					USA
Denton, Fred	1	26	76					USA
Eernisse, Ryan	11	27	76					Kenya
Foster, Tim	7	3	69					USA
Ogden, Matthew	6	5	77					England
Parrish, Andy	3	6	76					USA
Phillips, Mark	12	5	72					USA
Proctor, David	10	27	72					England
Araujo, Michael								Scotland
Shishkov, Stilian								Bulgaria
Pinzon, Juan Pablo								Colombia
Deegan, Alexander								USA
Cairns, Jason								USA
Kirov, Atanas								Bulgaria
Ziyenge, Lincoln								Zimbabwe
Coxon, Stephen								England
Parrish, Keith								USA
Schenkel, Doug								USA
Covey, Brian								USA
Lima, Rogerio								USA
Geltz, Tim								USA
Gyaki, Ryan	12	6	85					Canada
Dutra, Waldemar	2	20	83					Canada
Dolan, Paul	4	16	66					Canada
Carter, Ian	9	20	67					Canada
MacDonald, Steve	10	13	70					Canada
Samuel, Randy	12	23	63					Canada
Hooper, Lyndon	5	30	66					Canada
Berdusco, Eddy	9	8	69					Canada
White, Carson			75					
Isacco, Carmine			71					Canada
Branigan, Alan			75					USA
Wygonik, Tomasz	5	8	68					Poland
Persson, Trevor	7	7	78					USA
								
Chevalier, Greg	11	19	80					USA
Dawkins, Fabian	7	2	81					Jamaica
de la Torre, Antonio	11	18	77					Mexico
Fegler, Christian	1	29	80					Sweden
Goguen, Ron	12	4	80					USA
Iniguez, Sergio	2	3	80					USA
Lowery, Amir	12	26	83					USA
Mattison, Landy	1	4	83					USA
								
Peoples, Zachary	3	9	83					USA
Plute, Ronald	11	29	81					USA
Rhyne, Stephen	12	25	81					USA
Rios-Rodriguez, Rodrigo	1	25	77					Chile
Stone, Kristopher	2	27	82					Jamaica
Yi, Alex	3	21	82					USA
Alexander, Robert (Trey)	4	3	83					USA
Bernstein, Gabe	2	12	83					USA
Cavanagh, Drew	8	27	82					USA
Hollingsworth, Ben	6	6	82					USA
Karalexis, Timothy	9	18	80					USA
Khumalo, Thabiso (Boyzzz)	10	27	80					South Africa
Krupnik, Leonid (Leo)	7	15	79					Ukraine
Lesesne, Troy	10	27	83					USA
Lubezky, Alon	8	25	80					Israel
Okoye, Ugochukwu (Isaac)	9	13	81					Nigeria
Perez-Matto, Andres	8	7	84					Paraguay
Riley, Chris	8	3	82					USA
Vazquez-Garcia, Usiel	11	18	81					Mexico
								
Branan, Brett	2	17	83					USA
Diaz-Grova, Alejandro	12	14	73					Uruguay
Hargis, Jonathon	11	27	80					USA
								
Knox, Nathan	7	13	81					New Zealand
								
Platter, Nicolas	11	22	81					USA
								
Argento, Gerry	7	1	85					Canada
Fukasawa, Masahiro	12	7	77					Japan
								
								
Kolinski, Mike	3	15	78					
Lesage, Nicolas	1	3	80					Canada
Madkour, Rachid	4	1	77					Canada
Wesseh, Doco	6	7	79					
Wilson, Kevin	9	13	76					Jamaica
Antoniuk, Dan	1	23	81					USA
Goldthwaite, Kevin	12	9	82					USA
Higgins, Shaun	10	17	78					USA
Lines, Aaran	12	21	76					New Zealand
								
Reynolds, Sam	12	13	81					USA
Bezares-Mendoza, Rene	12	10	81					Puerto Rico
Delgado, Alberto	3	11	78					Cuba
Gomez, Andres	5	14	78					
Gonzalez-Pareja, Alejandro	10	11	77					Chile
Irrera-Gendhardt, Juan Pablo	10	3	82					Argentina
Kennedy, Daniel	7	22	82					USA
Lopuski, Jonathan	10	2	83					USA
McAthy, Drew	9	10	82					USA
								
Poli-Garcia, Dante	8	15	79					USA
								
Villegas-Espana, Petter	11	15	75					Ecuador
Gorres, Sascha	2	27	80					Germany
Hare, Jeff	4	1	82					USA
Nti, Theophidack (Kofi)	3	4	77					Ghana
Pauls, Mathew	3	30	82					USA
Ssejjemba, Robert	12	5	79					Uganda
Williams, Paul	3	26	71					England
								
Martinez, Rey	5	13	80					Cuba
Palguta, Scott	8	23	82					USA
Rougier, Anthony	7	17	81					Trinidad
								
								
								
Turpin, Mychal	9	13	83					USA
								
Besagno, Jacob	1	1	84					USA
Chacon-Orozco, Franklin	6	18	85					Costa Rica
Fulton, Robert	6	2	82					USA
Hansen, Joshua	1	16	82					USA
Klaas, Craig (CJ)	8	23	83					USA
Whitfield, Brent	1	8	81					USA
Sturm, Gabriel	9	22	81					USA
Ward, James	9	16	82					USA
Whitefield, Brent	1	8	81					USA
Wiesner, Brett	5	12	83					USA
Ali, Said	8	26	80					Canada
Balkanloo, Matthew	3	21	83					USA
Belotte, Wyn	6	5	84					Canada
Dekker, Martinus (Niels)	4	22	83					Canada
Eja-Tabe, Huffman	5	6	81					Canada
François, Abraham	6	7	77					Canada
								
								
Simpson, David	1	11	83					Canada
Some, Urbain								
Williams, Christopher	5	21	84					USA
								
Cucca, Umbertino (Tino)	2	2	84					Canada
de Silva, William (Liam)	9	8	77					Canada
Djekanovic, Srdjan (Serge)	1	8	83					Canada
Gjertsen, Joseph (Joey)	6	13	82					Canada
Wicks, Josh	11	1	83					USA
Bennett, Teafore	9	9	80					Jamaica
Benton, Daniel	12	29	80					USA
Brillant, Felix	9	9	80					Canada
Caskey, Darren	8	21	74					England
Harris, Kevon	6	1	81					Jamaica
Myers, Ptah	5	25	82					USA
Nolz, Josh	4	13	80					USA
Sepuya, Eugene	4	1	83					Uganda
Smith, Chad	2	24	80					USA
Ukah, Warren	3	22	85					USA
Valdeberito-Gomez, Kormac	1	2	82					Chile
Yang, Chou	12	31	75					
Bailey, Joel (JJ)	2	17	80					Trinidad
Mingo, Ruben	9	11	81					USA
Njima, Alain								
Some, Urbain								
Rozental, Sebastian	9	1	76					Chile
Galindo, Maykel	1	28	81					Cuba
