name	month	day	year		feet	inches	pounds	nationality
Alvarez, Daniel	1	18	78		5	11	165	USA
Luzak, Peter	3	18	78		6	1	180	USA
Strawbridge, Benjamin	1	19	79		6	3	177	
Namoff, Bryan	5	28	79		5	10	176	USA
Pilkington, Matthew	6	27	79		5	8	155	
Femia, Armando	1	17	80		6	1	165	
Myers, Bret	4	1	80		5	11	175	
Warren, Doug	3	18	81		6	0	197	USA
Carroll, Brian	7	20	81		5	10	152	USA
Testo, David	8	7	81		5	10	165	USA
Bandov-Simeonov, Kalin	5	12	65					Bulgaria
Miller, Doug	5	9	69		5	9	155	USA
Andracki, Bill	5	25	69		6	0	185	USA
Steenkamp, Lenin	9	9	69		5	11	180	South Africa
Paco, Viktor	2	14	71		6	1	200	
Schweitzer, Scott	8	12	71		5	11	150	USA
Quesada, Rafael	8	16	71					
Sedgewick, Williams	10	2	71		6	0	185	USA
Suarez, Cuauhtemoc	4	19	75		5	?	155	USA
Demmin, Craig	5	21	71		6	0	195	Trinidad
Mitchell, Jamel	5	26	75		6	1	185	USA
Commodore, Frederick	8	17	75		6	1	175	Ghana
Mladenov, Stoian	10	2	75		5	10	170	Bulgaria
Hayes, David	5	24	76		5	?	155	USA
Rocha, Maurizio	8	2	76					Bolivia
Kaczanowski, Nate	11	18	76		5	11	165	
Lavrinenko, Yuri	6	12	77		6	0	175	Ukraine
Wilson, Kirk	10	7	77		5	?	165	USA
Valencia-Jiminez, Gabriel	4	16	78		6	2	195	Venezuela
Vaughn, Jacob	5	12	78		5	10	165	
Tanner, James	8	4	78					USA
Tsakiris, Shaun	2	16	79		5	7	155	USA
Fuller, Ian	8	31	79		6	1	170	USA
Dinunzio, Ryan	8	21	80		6	0	180	USA
Mendes, Carlos	12	25	80		5	10	170	USA
Johnson, Soren	6	25	81		6	3	200	USA
Bengard, Alex	3	13	79		6	0		USA
Brown, Chad	9	1	75		5	9		USA
Burpo, Preston	11	9	72		6	3		USA
Callahan, Sean-Michael	4	17	78		5	8		USA
Cullen, Rich	5	12	78		6	1		USA
Edwards, Ryan	1	28	76		6	1		USA
Farrell, Jason	12	31	70		5	10		USA
Foisie, Greg	11	20	79		5	9		
Gomez, Herculez	4	6	82		5	10		USA
Gregor, Andrew	11	22	75		5	11		USA
Henderson, Sean	7	25	72		6	0		USA
Hulen, Matthew	3	13	80		5	10		USA
Jackson, Danny	10	20	79		6	0		England
Jenkins, Scott	12	11	73		6	2		USA
Levesque, Roger	1	22	81		6	2	174	USA
Nguyen, Viet	8	6	76		5	7		USA
O'brien, Leighton	3	14	76					USA
Percell, Shawn	4	26	78		6	0		USA
Sakuda, Kevin	6	18	80		6	1		USA
Sawatzky, Darren	2	22	73		5	10		USA
Scott, Zacharias	7	2	80		5	11		USA
Scott, Zach	7	2	80		5	11		USA
Smith, Kyle	8	9	78		6	0		USA
Somoza, Benjamin	8	16	79		5	11		USA
Tomlinson, Craig	10	31	75		5	9		Jamaica
Velez, Marco	6	26	80		6	2		Puerto Rico
Wittstruck, Ryan	10	12	78		6	1		
Andanda, Vairaji	10	7	79					
Bardales, Isaias	8	18	79		5	10	170	USA
Cole, Jason	9	26	80		5	10	180	USA
Cooks, Judah	11	29	76					USA
Correia-Sernedo, Carlos	1	21	80					
Delgado, Noah	12	30	79		5	9	160	USA
Gabb, Michael	10	27	80		6	2	215	
Gentile, Pablo	2	12	76		5	11	165	
Hall, Ryan	9	13	81		5	0	180	USA
Hubbard, Marc	6	13	81		6	3	194	
Jewsbury, Jack	4	13	81		6	0	185	USA
Kemble, Bennito	8	27	68		6	3	189	Suriname
Kirmse, Michael	12	10	72		5	9	165	USA
Knittel, Jeff	10	5	76					
Lyssand, Lars	12	29	79		6	0	180	USA
Mack, Gary	11	13	79		5	9	155	USA
McNab, Joseph	10	29	80					
Mcnab, Neil	10	29	80		5	7	157	
Medina, Anthony	2	25	79		6	0	180	
Millwood, Machel	6	8	79		6	2	194	Jamaica
Nagy, Paul	10	3	78		6	0	180	USA
Neto, Adauto	12	31	80		5	10	178	Brazil
Ritch, Michael	4	26	81					USA
Rivas, Rene	10	18	68		6	0	182	Brazil
Roy, Remi	8	8	77					Canada
Semedo-Correia, Carlos	1	21	80		6	0	175	Portugal
Sinozic, Sebastian	9	14	78					
Tanner, Thomas	3	10	68		5	8	150	USA
Tsakiris, Shau								
Valencia-Jiminez, Gabriel								
Woan, Ian	12	14	67		6	0	178	England
Veenhof, Jan	1	28	69		6	2	183	Holland
Vignjevic, Nicola	3	12	71		6	2	165	Serbia
Thomas, Elvis	7	27	72		5	10	172	Canada
Oliviero, Giuliano	2	26	74		6	0	175	Canada
Ashton, Brian	9	5	74		5	10	170	Canada
Zagar, Theodosis	11	2	74		6	3	195	Canada
Mattacchione, Joe	8	15	75		6	0	175	Canada
Kojic, Milan	10	7	76					Canada
Borgh, Salvatore	5	16	77					
Diplacido, David	5	18	77		5	9	165	Canada
Aristodemo, Robbie	5	20	77		5	6	140	Canada
Vincello, Mauricio	8	19	77		5	9	170	Argentina
Lucas, Ryan	8	31	77		6	3	200	Barbados
Barclay, Sebastian	2	1	78		5	10	175	Argentina
Faria, Shawn	6	2	78		6	0	180	Canada
Kryger, James	9	7	78		6	4	185	Canada
Serioux, Adrian	5	12	79		6	0	180	Canada
Mayard, Josue	3	10	80		5	10	170	Canada
Takhee, Daniel	9	27	80					
Hughes, Tyler	11	7	80		6	1	180	Canada
Rowland, Brian	12	30	80					Canada
Westmaas, Jonathan	7	3	81		5	11	180	Canada
Hutchinson, Atiba	2	8	83					Canada
Lewis, Paul	4	24	83		5	11	168	Canada
Blicharski, Nick	4	26	84		6	2	175	Poland
Fonseca, Antonio	1	30	65					Portugal
Dasovic, Nick	12	5	68		6	1	180	Canada
Ramos-Aveleira, Mario	10	6	69					
Dailly, Paul	7	26	71		5	10	168	Canada
Corazzin, Carlo	12	25	71		5	11	170	Canada
Thompson, Niall	4	16	74		6	0	176	Canada
Franks, Chris	4	27	74		5	11	170	Canada
Heald, Oliver	3	13	75		6	0	175	Canada
Shannon, Musa	8	1	75					Liberia
King, Tiarnan	8	27	76		5	7	160	
Craveiro, Chris	1	17	77					Canada
Kindel, Steve	2	25	77		5	8	150	Canada
Franks, Michael	4	27	77		6	5	200	Canada
Sulentic, Ive	5	2	77		5	9	160	Canada
Clarke, Jeff	10	18	77		5	9	165	Canada
Morris, David	2	8	78		6	2	160	Canada
Craveiro, Nico	4	14	78		6	0	175	Canada
Jordan, Jason	5	30	78		5	10	170	Canada
Lyall, Geordie	9	15	78		5	11	160	Canada
Cameron, Kevan	2	1	79		6	0	175	
Marques-Delgado, Alexander	8	31	79		5	10	170	Portugal
Piette, Jeremie	11	23	79					USA
Skinner, Jeff	12	24	79		5	10	160	
Veer, Andrew	5	6	80		6	0	160	
Valente, Alfredo	11	6	80		5	6	155	Canada
Chin, Gordon	3	26	83					Canada
Postma, Simon	4	7	83		6	1	175	
Robson, Craig	12	18	83		5	9	167	
Amaguana, Ronny	2	2	78					
Amani-Dove, Hamisi	3	28	74		5	11	180	USA
Bilyk, Jeff	5	7	77		5	7	145	USA
Brooks, Gary	8	5	80					Jamaica
Bussey, Carl	10	11	78		5	7	165	USA
Danbusky, Stephen	4	18	77		5	11	175	USA
Fenger-Larsen, Jakob	2	6	71		5	10	170	Denmark
Garcia-Dominguez, Carlos	5	13	81		5	7	145	Colombia
Goodfellow, Jacobi	1	4	77					USA
Huggins, Cornelius	1	7	75					
Hutchison, Russell	7	6	78		6	2	190	USA
Knott, Kevin	4	26	79		6	0	170	USA
Larson, Joseph	10	19	75		6	0	185	
Lassiter, Roy	3	9	69		5	8	165	USA
LeBlanc, Jacob	2	2	81					USA
Lemons, Christopher	11	21	79					
Lewis, Cecil	2	3	81		5	7	150	
Mahoney, Richard	5	18	74		6	0		Costa Rica
Moore, Jeff	1	15	80		5	8	155	USA
Nelson, Matthew	11	12	77		6	0	180	USA
Regan, Tim	6	27	81					USA
Rolfing, Todd	3	3	81					
Shoffner, Jamath	7	10	78		5	8	155	
Stokes, David	5	28	82					USA
Vargas, Roland	12	7	79		5	8	150	
Washington, Dante	11	21	70		5	11	190	USA
Williams, Gary	7	19	79		5	10	157	England
Gentile, Mik								USA
Hardy, Tom								
Inneh, Ernest								
								
Sanchez, Hugo	7	11	58					Mexico
Ravelli, Thomas	8	13	59					Sweden
Woods, Chris	11	14	59					England
Zenga, Walter	4	28	60					Italy
Matthaus, Lothar	3	21	61					Germany
Dooley, Thomas	5	12	61					Germany
Valderrama, Carlos	9	2	61					Colombia
Gough, Richard	4	16	62					Scotland
Haynes, Brian	5	7	62					USA
de Avila, Antonio	10	21	62					Colombia
Caricola, Nicola	2	13	63					Italy
Galderisi, Giuseppe	3	22	63					Italy
Johnston, Mo	4	13	63					Scotland
Preki	6	24	63					Serbia
Radosavljevic, Predrag	6	24	63					Serbia
Kooiman, Cle	7	4	63					USA
Gorter, Edwin	7	6	63					Holland
Warzycha, Robert	8	20	63					Poland
Okaroh, Francis	8	25	63					Nigeria
McLaren, Paulinho	8	28	63					Brazil
Donadoni, Roberto	9	9	63					Italy
Carrera, Marcelo	10	1	63					USA
Vasquez, Martin	12	24	63					Mexico
Vazquez, Martin	12	24	63					Mexico
Ledesma, Carlos	1	18	64					Argentina
Kubik, Lubos	1	20	64					Czech Republic
Edwards, Troy	1	21	64					USA
Butterworth, Ian	2	15	64					England
Wegerle, Roy	3	19	64					USA
Hattrup, Peter	3	30	64					USA
Fraser, Iain	4	3	64					Canada
Yallop, Frank	4	4	64					Canada
Branco	4	4	64					Brazil
Sosa-Garcia, Cesar	5	7	64					
Caligiuri, Paul	5	9	64					USA
Nakhid, David	5	15	64					Trinidad
Nowak, Peter	7	5	64					Poland
Kydes, Mickey	7	25	64					USA
Rideout, Paul	8	14	64					England
Azmi, Khalil	8	23	64					Morocco
Hermosillo, Carlos	8	26	64					Mexico
Armstrong, Desmond	11	2	64					USA
Gelnovatch, George	2	12	65					USA
Dario Hernandez, Ruben	2	19	65					Colombia
Hernandez, Ruben	2	19	65					Colombia
Hernandez, Ruben Dario	2	19	65					Colombia
Kerr, John	3	6	65					USA
Espinoza, Missael	4	12	65					Mexico
Harrington, Pat	4	17	65					Canada
Sullivan, Christopher	4	18	65					USA
Trittschuh, Steve	4	24	65					USA
Eichmann, Eric	5	7	65					USA
Bankov, Kalin	5	12	65					Bulgaria
Bishop, Ian	5	29	65					England
Neely, Doug	5	31	65					
Lee, Thor	6	5	65					
Emenalo, Michael	7	14	65					Nigeria
Alvarez, Leonel	7	29	65					Colombia
Sabanadzovic, Refik	8	8	65					Bosnia
Dodd, Mark	9	14	65					USA
Harbor, Jean	9	19	65					Nigeria
Limpar, Anders	9	24	65					Sweden
Bliss, Brian	9	28	65					USA
Hunjak, Goran	11	13	65					Croatia
Ziober, Jacek	11	18	65					Poland
Conde, Chiquinho	11	22	65					Mozambique
Namazi, Omid	12	8	65					USA
Guzman, Daniel	12	31	65					Mexico
Backman, Derek	1	6	66					USA
Uribe, Francisco	1	11	66					Mexico
Klopas, Frank	1	19	66					USA
